code_fichier,annee_deb,annee_fin,corpus SODUCO,coll_nt,collection,coll_titre,serie_nt,serie,Série_titre,code_ouvrage,Note_tableau_overleaf,partie,volume,exemplaire,code_exemplaire,ref_ouvrage_ouinon,titre ouvrage,source_in_title,source_in_resources,Version_num_ftpign,Vnum_lien_Gallica,Vnum_lien_retronews,Vnum_autre_source,Vnum_autre_source_lien,link,overview,titre_complement,contenant,redacteur,lieu_redac,format,prix,imprimeur,chez,sourcecoll,ScanBN,Notice BNF,archives,nl
Watin_1787_Louvre,1787,,00_corpus,10400:Watin,Watin,État actuel de Paris,10401:Watin,Watin,"Le provincial à Paris ou Etat actuel de Paris, en 4 vol.",Watin_1787,1.0,,Louvre,ex1,Watin_1787_ex1,oui,Le provincial à paris ou Etat actuel de Paris - Quartier du Louvre,"Exemplaire bib Lyon, 2010","bib Lyon, 2010",ok,,,"bib Lyon, 2010",https://books.google.fr/books?id=ARheDWoO-pgC,https://books.google.fr/books?id=BuGoJ_9n6EQC,https://books.google.fr/books?id=BuGoJ_9n6EQC&printsec=frontcover&img=1,,"ouvrage indispensable à ceux qui veulent connaître et parcourir Paris, sans faire aucune question. En quatre volumes in-24 et cinq cartes nouvelles ; dont une  contient le Plan général de Paris & ses quatres divisions avec les accroissements successifs, depuis Philippe Auguste, jusqu'à Louis XVI. Et les quatre autres, chacune une des quatre divisions de Paris : Sud-est, nord-est,sud-ouest, nord-ouest. (Avec approbation et privilège du Roi. [Mention manuscrite ] ""Je confirme""). 4 vol., xiv-76-231 p. ; xiv-64-188 p. ; xiv-100-192 p. et xiv-122-197 p.","Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb363940205,,11.0
Watin_1787_Temple,1787,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1787,1.0,,Temple,ex1,Watin_1787_ex1,,Le provincial à paris ou Etat actuel de Paris - Quartier du Temple,"Exemplaire bib Lyon, 2010","bib Lyon, 2010",ok,,,"bib Lyon, 2010",https://books.google.fr/books?id=9ndAjyUh6UIC,https://books.google.fr/books?id=BuGoJ_9n6EQC,https://books.google.fr/books?id=BuGoJ_9n6EQC&printsec=frontcover&img=1,,"ouvrage indispensable à ceux qui veulent connaître et parcourir Paris, sans faire aucune question. En quatre volumes in-24 et cinq cartes nouvelles ; dont une  contient le Plan général de Paris & ses quatres divisions avec les accroissements successifs, depuis Philippe Auguste, jusqu'à Louis XVI. Et les quatre autres, chacune une des quatre divisions de Paris : Sud-est, nord-est,sud-ouest, nord-ouest. (Avec approbation et privilège du Roi. [Mention manuscrite ] ""Je confirme""). 4 vol., xiv-76-231 p. ; xiv-64-188 p. ; xiv-100-192 p. et xiv-122-197 p.","Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb363940205,,12.0
Watin_1787_StGermain,1787,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1787,1.0,,StGermain,ex1,Watin_1787_ex1,,Le provincial à paris ou Etat actuel de Paris - Quartier Saint Germain,"Exemplaire bib Lyon, 2010","bib Lyon, 2010",ok,,,"bib Lyon, 2010",https://books.google.fr/books?id=cWW1LnX7TMgC,https://books.google.fr/books?id=BuGoJ_9n6EQC,https://books.google.fr/books?id=BuGoJ_9n6EQC&printsec=frontcover&img=1,,"ouvrage indispensable à ceux qui veulent connaître et parcourir Paris, sans faire aucune question. En quatre volumes in-24 et cinq cartes nouvelles ; dont une  contient le Plan général de Paris & ses quatres divisions avec les accroissements successifs, depuis Philippe Auguste, jusqu'à Louis XVI. Et les quatre autres, chacune une des quatre divisions de Paris : Sud-est, nord-est,sud-ouest, nord-ouest. (Avec approbation et privilège du Roi. [Mention manuscrite ] ""Je confirme""). 4 vol., xiv-76-231 p. ; xiv-64-188 p. ; xiv-100-192 p. et xiv-122-197 p.","Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb363940205,,13.0
Watin_1787_Ndame,1787,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1787,1.0,,Ndame,ex1,Watin_1787_ex1,,Le provincial à paris ou Etat actuel de Paris - Quartier Notre-Dame,"Exemplaire bib Lyon, 2010","bib Lyon, 2010",ok,,,"bib Lyon, 2010",https://books.google.fr/books?id=BuGoJ_9n6EQC,https://books.google.fr/books?id=BuGoJ_9n6EQC,https://books.google.fr/books?id=BuGoJ_9n6EQC&printsec=frontcover&img=1,,"ouvrage indispensable à ceux qui veulent connaître et parcourir Paris, sans faire aucune question. En quatre volumes in-24 et cinq cartes nouvelles ; dont une  contient le Plan général de Paris & ses quatres divisions avec les accroissements successifs, depuis Philippe Auguste, jusqu'à Louis XVI. Et les quatre autres, chacune une des quatre divisions de Paris : Sud-est, nord-est,sud-ouest, nord-ouest. (Avec approbation et privilège du Roi. [Mention manuscrite ] ""Je confirme""). 4 vol., xiv-76-231 p. ; xiv-64-188 p. ; xiv-100-192 p. et xiv-122-197 p.","Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb363940205,,14.0
Watin_1788_Louvre,1788,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1788,1.0,,Louvre,ex1,Watin_1788_ex1,oui,"État actuel de Paris, ou le Provincial à Paris - Quartier du Louvre","Exemplaire National Library of the Netherlands, 2014","National Library of the Netherlands, 2014",ok,,,"bib Lyon, 2010",https://books.google.fr/books?id=31RAAAAAcAAJ,https://books.google.fr/books?id=E_5dAAAAcAAJ,https://books.google.fr/books?id=E_5dAAAAcAAJ&printsec=frontcover&img=1,,,"Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb36394022v,,15.0
Watin_1788_Louvre_ex2,1788,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1788,1.0,,Louvre,ex2,Watin_1788_ex2,,"État actuel de Paris, ou le Provincial à Paris - Quartier du Louvre","Exemplaire National Library of the Netherlands, 2014","National Library of the Netherlands, 2014",ok,,,"National Library of the Netherlands, 2014",https://books.google.fr/books?id=1f1dAAAAcAAJ,https://books.google.fr/books?id=1f1dAAAAcAAJ,https://books.google.fr/books?id=1f1dAAAAcAAJ&printsec=frontcover&img=1,,,"Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,,,,16.0
Watin_1788_Temple,1788,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1788,1.0,,Temple,ex1,Watin_1788_ex1,,"État actuel de Paris, ou le Provincial à Paris - Quartier du Temple","Exemplaire National Library of the Netherlands, 2014","National Library of the Netherlands, 2014",ok,,,"National Library of the Netherlands, 2014",https://books.google.fr/books?id=7f1dAAAAcAAJ,https://books.google.fr/books?id=E_5dAAAAcAAJ,https://books.google.fr/books?id=E_5dAAAAcAAJ&printsec=frontcover&img=1,,,"Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb36394022v,,17.0
Watin_1788_StGermain,1788,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1788,1.0,,StGermain,ex1,Watin_1788_ex1,,"État actuel de Paris, ou le Provincial à Paris - Quartier Saint Germain","Exemplaire National Library of the Netherlands, 2014","National Library of the Netherlands, 2014",ok,,,"National Library of the Netherlands, 2014",https://books.google.fr/books?id=Qf5dAAAAcAAJ,https://books.google.fr/books?id=E_5dAAAAcAAJ,https://books.google.fr/books?id=E_5dAAAAcAAJ&printsec=frontcover&img=1,,,"Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb36394022v,,18.0
Watin_1788_Ndame,1788,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1788,1.0,,Ndame,ex1,Watin_1788_ex1,,"État actuel de Paris, ou le Provincial à Paris - Quartier Notre-Dame","Exemplaire National Library of the Netherlands, 2014","National Library of the Netherlands, 2014",ok,,,"National Library of the Netherlands, 2014",https://books.google.fr/books?id=E_5dAAAAcAAJ,https://books.google.fr/books?id=E_5dAAAAcAAJ,https://books.google.fr/books?id=E_5dAAAAcAAJ&printsec=frontcover&img=1,,,"Watin, fils","A Paris chez le sieur Watin, fils, Editeur, rue Sainte-Appoline, n° 23.",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb36394022v,,19.0
Watin_1789_Louvre,1789,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1789,0.0,,Louvre,ex1,Watin_1789_ex1,oui,"État actuel de Paris, ou le Provincial à Paris - Quartier du Louvre",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,"ouvrage indispensable à ceux qui veulent connaître et parcourir Paris sans faire aucune question, en quatre volumes in-24 et cinq cartes nouvelles","Watin, fils","A Paris chez le sieur Watin, fils",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb31625104t,,20.0
Watin_1789_Temple,1789,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1789,0.0,,Temple,ex1,Watin_1789_ex1,,"État actuel de Paris, ou le Provincial à Paris - Quartier du Temple",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,"ouvrage indispensable à ceux qui veulent connaître et parcourir Paris sans faire aucune question, en quatre volumes in-24 et cinq cartes nouvelles","Watin, fils","A Paris chez le sieur Watin, fils",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb31625104t,,21.0
Watin_1789_StGermain,1789,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1789,0.0,,StGermain,ex1,Watin_1789_ex1,,"État actuel de Paris, ou le Provincial à Paris - Quartier Saint Germain",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,"ouvrage indispensable à ceux qui veulent connaître et parcourir Paris sans faire aucune question, en quatre volumes in-24 et cinq cartes nouvelles","Watin, fils","A Paris chez le sieur Watin, fils",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb31625104t,,22.0
Watin_1789_Ndame,1789,,00_corpus,10400:Watin,Watin,,10401:Watin,Watin,,Watin_1789,0.0,,Ndame,ex1,Watin_1789_ex1,,"État actuel de Paris, ou le Provincial à Paris - Quartier Notre-Dame",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,"ouvrage indispensable à ceux qui veulent connaître et parcourir Paris sans faire aucune question, en quatre volumes in-24 et cinq cartes nouvelles","Watin, fils","A Paris chez le sieur Watin, fils",,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb31625104t,,23.0
Watin2_1803_nord,1803,,00_corpus,10400:Watin,Watin,,10402:Watin2,Watin2,"Etat actuel de Paris, en 2 vol.",Watin2_1803_nord,0.0,,Nord,ex1,Watin2_1803_nord_ex1,oui,"Etat actuel de Paris, an XI",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,1er vol. Nord de Paris,"contenant l'indication de ce que Paris renferme d'utile, de curieux et d'intéressant, en tout genre . Ouvrage indispensable à ceux qui veulent connaître Paris sans le voir, et le parcourir sans y venir","Prévost de Saint-Lucien (Roch-Henri) ? Et Watin fils (Watin, Jean-Félix, 1728-)"," Paris : chez l'auteur, le citoyen Précien",in-24,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb316251055,,25.0
Watin2_1803_midi,1803,,00_corpus,10400:Watin,Watin,,10402:Watin2,Watin2,,Watin2_1803_midi,0.0,,Midi,ex1,Watin2_1803_midi_ex1,,"Etat actuel de Paris, an XI",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,2e vol. Midi de Paris,"contenant l'indication de ce que Paris renferme d'utile, de curieux et d'intéressant, en tout genre . Ouvrage indispensable à ceux qui veulent connaître Paris sans le voir, et le parcourir sans y venir","Prévost de Saint-Lucien (Roch-Henri) ? Et Watin fils (Watin, Jean-Félix, 1728-)"," Paris : chez l'auteur, le citoyen Précien",in-24,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb316251055,,26.0
Watin2_1805_nord,1805,,00_corpus,10400:Watin,Watin,,10402:Watin2,Watin2,,Watin2_1805_nord,0.0,,Nord,ex1,Watin2_1805_nord_ex1,oui,"Etat actuel de Paris, an 1805",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,1er vol. Nord de Paris,"ontenant l'indication, l'historique et la description de ce que Paris renferme d'utile, de curieux et d'intéressant en tout genre. Deux volumes in-24... Dédié à tous ceux qui, se rendant à Paris pour assister au sacre et au couronnement de l'empereur, veulent connoître Paris en peu de temps","Prévost de Saint-Lucien (Roch-Henri) ? Et Watin fils (Watin, Jean-Félix, 1728-)"," Paris : chez l'auteur, le citoyen Précien",in-24,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb31625106h,,27.0
Watin2_1805_midi,1805,,00_corpus,10400:Watin,Watin,,10402:Watin2,Watin2,,Watin2_1805_midi,0.0,,Midi,ex1,Watin2_1805_midi_ex1,,"Etat actuel de Paris, an 1805",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,2e vol. Midi de Paris,"ontenant l'indication, l'historique et la description de ce que Paris renferme d'utile, de curieux et d'intéressant en tout genre. Deux volumes in-24... Dédié à tous ceux qui, se rendant à Paris pour assister au sacre et au couronnement de l'empereur, veulent connoître Paris en peu de temps","Prévost de Saint-Lucien (Roch-Henri) ? Et Watin fils (Watin, Jean-Félix, 1728-)"," Paris : chez l'auteur, le citoyen Précien",in-24,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb31625106h,,28.0
alm_Chantoiseau_1780,1780,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,Tablettes royales de renommée ,10102:alm_Chantoiseau1,alm_Chantoiseau1,"Tablettes royales de renommée ou almanach général d'indication des négocians, artistes célèbres et fabricans des six corps, arts et métiers... de Paris et autres villes du royaume",alm_Chantoiseau_1780,0.0,,,ex1,alm_Chantoiseau_1780_ex1,oui,Tablettes royales de renommée ,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,,,,,,,,,,,
alm_Chantoiseau_1781,1781,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10102:alm_Chantoiseau1,alm_Chantoiseau1,,alm_Chantoiseau_1781,0.0,,,ex1,alm_Chantoiseau_1781_ex1,oui,Tablettes royales de renommée ,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,,,,,,,,,,,
alm_Chantoiseau_1782,1782,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10102:alm_Chantoiseau1,alm_Chantoiseau1,,alm_Chantoiseau_1782,0.0,,,ex1,alm_Chantoiseau_1782_ex1,oui,Tablettes royales de renommée ,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,,,,,,,,,,,
alm_Chantoiseau_1783,1783,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10102:alm_Chantoiseau1,alm_Chantoiseau1,,alm_Chantoiseau_1783,0.0,,,ex1,alm_Chantoiseau_1783_ex1,oui,Tablettes royales de renommée ,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,,,,,,,,,,,
alm_Chantoiseau_1784,1784,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10102:alm_Chantoiseau1,alm_Chantoiseau1,,alm_Chantoiseau_1784,0.0,,,ex1,alm_Chantoiseau_1784_ex1,oui,Tablettes royales de renommée ,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,,,,,,,,,,,
alm_Chantoiseau_1785,1785,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10102:alm_Chantoiseau1,alm_Chantoiseau1,,alm_Chantoiseau_1785,0.0,,,ex1,alm_Chantoiseau_1785_ex1,oui,Tablettes royales de renommée ,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,,,,,,,,,,,
alm_Chantoiseau_1786,1786,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10103:alm_Chantoiseau2,alm_Chantoiseau2,"Tablettes royales de renommée ou de correspondance et d'indication générales des principales fabriques, manufactures et maisons de commerce, d'épicerie-droguerie, vins, liqueurs, eaux-de-vie et comestibles de Paris et autres villes du royaume et des pays étrangers",alm_Chantoiseau_1786,3.0,,,ex1,alm_Chantoiseau_1786_ex1,oui,"Tablettes royales de renommée ou de correspondance et d'indication générales des principales fabriques, manufactures et maisons de commerce, d'épicerie-droguerie, vins, liqueurs, eaux-de-vie et comestibles de Paris et autres villes du royaume et des pays étrangers",Exemplaire BnF,BnF,ok,https://gallica.bnf.fr/ark:/12148/bpt6k5821581z,,,,https://gallica.bnf.fr/ark:/12148/bpt6k5821581z,https://gallica.bnf.fr/ark:/12148/bpt6k5821581z.lowres,,avec une Notice des motifs qui ont rendu ces maisons recommendables. Avec approbation et privilège du Roi,"[Roze de Chantoiseau, Mathurin] Par une société de négocians & de commis voyageurs & Amateurs du commerce et des Arts.","Au Palais Royal & au bureau d'indications et négociations générales, rue d'Anjou-Dauphine, n°14, où l'on reçoit tous les abonnements & avis relatifs à cet ouvrage.",,"Prix 4 liv. 4 Sols, broché.",,"A Paris, Royer, Libraire, Quai des Augustins, près le Pont-neuf ;  Bailly, rue Saint-Honoré, Barrière des sergens ;  Vve Duchesne, Rue Saint Jacques, au temple du goût ; Desnos, Libraire-Géographe de S. M. Roi de Dannemarck ; Buisson, Rue des poitevins , Aà l'Hotel de Mesgrigny.",,oui,https://catalogue.bnf.fr/ark:/12148/cb31266485v,https://catalogue.bnf.fr/ark:/12148/cb31266487j,
alm_Chantoiseau_1787,1787,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10103:alm_Chantoiseau2,alm_Chantoiseau2,,alm_Chantoiseau_1787,0.0,,,ex1,alm_Chantoiseau_1787_ex1,oui,Tablettes royales de renommée ,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,,,,,,,,,,,
alm_Chantoiseau_1788,1788,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10103:alm_Chantoiseau2,alm_Chantoiseau2,,alm_Chantoiseau_1788,0.0,,,ex1,alm_Chantoiseau_1788_ex1,oui,Tablettes royales de renommée ,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,"ou de correspondance et d'indication générale des principales fabriques, manufactures et maisons de commerce de draperie, soieries, toileries et lainages de Paris et autres villes du royaume et des pays étranger",,"Sign. A. K. / Roze de Chantoiseau, Mathurin",Paris : Royez,,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb31266484h,,
alm_Chantoiseau_1789,1789,,00_corpus,10100:alm_Chantoiseau,alm_Chantoiseau,,10103:alm_Chantoiseau2,alm_Chantoiseau2,,alm_Chantoiseau_1789,3.0,,,ex1,alm_Chantoiseau_1789_ex1,oui,"Tablettes royales de correspondance et d'indication générale des manufactures, principales fabriques et maisons de commerce, de draperie, soierie, toilerie, bonneterie",Exemplaire BnF,BnF,ok,https://gallica.bnf.fr/ark:/12148/bpt6k5819737f,,,,https://gallica.bnf.fr/ark:/12148/bpt6k42307h,https://gallica.bnf.fr/ark:/12148/bpt6k42307h.lowres,,,"Roze de Chantoiseau, Mathurin",au Bureau d'indication et négociations générales (Paris) ,,,,,,oui,http://catalogue.bnf.fr/ark:/12148/cb312664835,,
